"","V1","V2"
"197",23.1748165900855,-25.0754095152717
"198",24.6591551154709,-24.7720612171325
"199",24.8925376359475,-24.7189155408859
"200",26.4973132502641,-25.1003005375968
"201",27.1203714954004,-24.8529550523886
"202",27.8915150620919,-24.6035860831322
"203",28.9201593584202,-24.7791975774513
"204",30.6188625280188,-25.5101546334514
"205",30.8698275522796,-24.8217781934415
"206",32.1636048818203,-25.5970614897118
"207",32.6068220495174,-25.142848166871
"208",33.9770234947224,-24.6613318730163
"209",46.0722648759564,-24.6023000229658
"210",46.7120084246186,-24.6066224000615
"211",-66.7297398637698,-24.4885907352251
"212",-66.0967895598231,-23.5302269367432
"213",-65.2633333706659,-23.8944897586044
"214",-64.2636531727571,-23.9376845395176
"215",-62.8079444693268,-23.757741383695
"216",-61.8806536863074,-24.5004590167187
"217",-60.9888445008959,-23.9657116879699
"218",-60.7435700051254,-23.6637624893925
"219",-59.0836599248236,-23.9697115964861
"220",-57.5138238579437,-23.6256172704951
"221",-56.4160779130046,-24.5179285950255
"222",-55.4930911636162,-24.369273108744
"223",-54.024506388244,-23.8286355122386
"224",-53.9209833480064,-23.8950128963019
"225",17.7941782957555,-24.455758915216
"226",18.1244240064057,-24.1883800315866
"227",19.5172684341594,-23.5747421506917
"228",20.8462397375622,-23.9274378525758
"229",21.3086538149592,-23.5763611789553
"230",22.0321558542265,-23.6524595799118
"231",23.4766766003168,-23.8435943603627
"232",24.0182760371404,-23.9436024265306
"233",25.2058085846432,-24.0649275012338
"234",25.8915254973136,-24.5042694895224
"235",28.440438025198,-24.2183728685272
"236",28.9507493426024,-24.2867111883735
"237",29.9144366678907,-24.3703186108709
"238",31.2097481187007,-23.9136173465778
"239",32.1934177445066,-24.2911392213142
"240",32.937074845246,-23.7116192533835
"241",33.9782490943901,-24.2776744348907
"242",34.9645393476634,-24.3703558909246
"243",46.1924560301836,-23.585342389826
"244",47.0955375638197,-23.7378874172829
"245",-67.7083838695604,-23.0816391294118
"246",-67.5674684082129,-22.9604217483565
"247",-66.1789376961701,-22.7743810171714
"248",-64.8504438005436,-22.5128427058438
"249",-63.7225586302085,-22.8723497526015
"250",-63.5378923403254,-23.0680359939875
"251",-62.3017798974464,-22.5125129978512
"252",-61.3672865050952,-22.8404707299867
"253",-60.1116443313875,-23.3456966450013
"254",-59.1911566851068,-22.7940637294515
"255",-58.4962881949119,-23.0350198110324
"256",-57.7067395466951,-22.968536396598
"257",-56.6167078751867,-23.4497493902482
"258",-55.411088044448,-23.3141903959657
"259",-54.3180774172459,-22.5290679306435
"260",18.9316711209661,-23.2950686484499
"261",19.9072016866084,-22.8303970195021
"262",20.1929542797047,-23.3543362198267
"263",21.5920260674312,-23.161681990977
"264",22.5231475447219,-23.4305749704847
"265",22.9647807630097,-22.5646789322067
"266",28.7872426219983,-23.1296182517921
"267",29.9943416071237,-22.8869079382403
"268",31.1609733456196,-23.0548171317634
"269",32.3837467588619,-22.695942150419
