"","V1","V2"
"288",23.8181476689195,-22.4671890378679
"289",31.2005014997256,-21.8220345938018
"290",33.2534738602984,-21.9005514702486
"291",34.0356374247047,-21.5490857696329
"292",35.3227794738832,-22.5764726193634
"293",43.7175659292948,-21.5602574854042
"294",44.4095426354525,-21.6906681660264
"295",45.6409795865115,-21.6624614296796
"296",46.8017153446436,-21.8666666700746
"297",47.6592522777734,-22.0723236934548
"298",-67.1953243820348,-20.998043705942
"299",-65.9510272979307,-21.4532626580415
"300",-65.0027734126479,-20.7916618414127
"301",-64.6568353573745,-21.4114207217685
"302",-63.8160711512323,-20.7058003902003
"303",-62.9774353291601,-21.3675559713069
"304",-61.818516825671,-20.7941640211153
"305",-59.8041464994796,-20.8855172681881
"306",-58.6672199836341,-21.2428266895991
"307",-58.0605759895341,-21.2606919976012
"308",-56.3298053349828,-20.5912762380868
"309",-56.1190176144966,-20.8583482997559
"310",-54.4911313801422,-21.1005321369757
"311",32.5998295682852,-20.6705862500001
"312",32.7222617818792,-21.1514324564851
"313",33.8914767365385,-20.9582431635341
"314",34.769195697464,-21.1921554153036
"315",44.2802064848935,-21.210432158588
"316",44.578934053451,-21.1099707757653
"317",46.1012879331368,-20.6901580754889
"318",46.4416266570805,-20.6215446652033
"319",48.0213500600538,-21.4566617098383
"320",48.222439717255,-21.3233532837164
"321",-68.1471933293686,-20.3904236946624
"322",-67.672585727307,-20.0343573406306
"323",-66.1520291700298,-20.0640216009752
"324",-65.4127825394206,-19.7795020914183
"325",-62.8177597875377,-19.5556646225963
"326",-61.6574239807754,-20.0301911957415
"327",-60.9571339122989,-19.7274586662056
"328",-59.3006954587379,-19.6247610293991
"329",-58.543455423344,-19.6536694011389
"330",-57.9615967091439,-20.2939586039732
"331",-56.3666788005042,-20.425456560488
"332",-56.1564943374763,-20.04774614233
"333",31.5866952291089,-20.149795308753
"334",32.5826442405604,-20.1188059859039
"335",33.2951304683354,-20.0185091894757
"336",34.4588070433637,-20.0405287578997
"337",34.7267231504268,-19.5962660549765
"338",45.2103993776417,-19.4923549292793
"339",46.0664704425247,-19.5119877219889
"340",46.2924456601557,-19.5451032120092
"341",47.8737714182867,-19.7325632539957
"342",48.2285047600109,-20.3760522218551
"343",-68.03230573099,-19.0944720949219
"344",-67.8157276558339,-18.8826687405277
"345",-66.6521147030389,-19.4383616832443
"346",-65.2413631020537,-18.6275848464864
"347",-64.1034622347272,-18.5197495976048
"348",-62.2650751235634,-18.8018821700936
"349",-61.2783722705849,-19.1314516935076
"350",-60.4736679932298,-18.8537785313839
"351",-59.4352051159499,-18.630075187386
"352",-58.7652963951414,-19.0882265207509
"353",-58.0075607106975,-18.6441801099264
"354",-56.7415117347684,-18.850381918776
"355",31.2671345352345,-18.5475647030937
"356",32.3651583925143,-19.3250827692429
"357",33.1025461366341,-19.1111361992645
"358",34.2667504354842,-18.5837414235662
"359",35.4305571030842,-18.7743644659268
"360",35.7411699529027,-18.7445612844614
"361",44.6912137940558,-18.5986935119347
"362",45.6163546253312,-18.617619109525
"363",46.8711092760295,-18.9847584350709
"364",47.3468028012463,-19.4263148846127
"365",48.6614414939302,-18.8532880273956
"366",-67.7307142896094,-17.7732944713578
"367",-66.6179860532477,-17.6777820405226
"368",-65.3803497758368,-18.3499533570917
"369",-64.4581590630919,-18.4242274333254
"370",-63.7994235632966,-18.3711109390921
"371",-62.7557360658368,-17.846710066592
"372",-61.1435867124511,-17.4961523714157
"373",-60.7670698139604,-18.299673350919
"374",-59.8606363015177,-17.6892967298083
"375",-58.9047161024244,-17.6781928835589
"376",-57.872244658957,-18.3594830084064
"377",30.7357442201278,-17.8560629385631
"378",30.9997170936696,-18.2089222234891
"379",31.7544712773137,-18.3899981961223
"380",33.485320381349,-17.6846335940545
"381",34.587230471114,-18.3169163639439
"382",36.5109858822577,-17.8485634546569
"383",37.3807442023025,-17.5386104061761
"384",44.9986126247229,-17.652820776594
"385",46.209253730146,-17.8863455990357
"386",46.8893730473424,-17.5711245035679
"387",47.715467101401,-17.4976234159468
"388",48.7591429397473,-18.2410249653476
"389",-66.4513022973308,-17.0727308872405
"390",-65.4176951729287,-17.2211235359316
"391",-64.1864566907933,-17.2157251952869
"392",-63.5116766462657,-17.3256059425751
"393",-62.5271455119901,-16.983700436246
"394",-61.3039877516157,-17.0765518504828
"395",-60.5427129924738,-17.0952400723402
"396",-59.4784293435157,-17.0274517333667
"397",-43.0932057074221,-16.4827205976928
"398",-42.2006189156671,-16.4465972033557
"399",-41.1557667838259,-17.2473237482714
"400",-40.4472760238864,-16.4643046238153
"401",30.9612484001175,-17.1978457960487
"402",32.0069639423771,-17.2543978846848
"403",32.7566236425245,-16.6340700334141
"404",33.9373574296126,-16.7513385107283
"405",36.2215279326368,-16.5981529050246
"406",37.2525497277649,-16.7183192830017
"407",39.1294209446564,-16.4203985820318
"408",44.6704656133878,-17.3219587446065
"409",45.747203930333,-16.4460805770535
"410",46.589138238408,-17.2053482486412
"411",47.6442328260287,-16.8292913696202
"412",48.3767575209004,-16.5685389134533
"413",49.7952804296093,-16.4465135172902
"414",-65.3242528518304,-15.9214899639798
"415",-64.0473866558672,-16.3476737662526
"416",-63.7679537448202,-15.5225272803968
"417",-62.1078746815597,-16.04267983579
"418",-61.0885651154339,-15.6385772116467
"419",-60.1676345934144,-16.3277718467624
