"","LTDR_outcome_mean","LTDR_outcome_max","pre_average_NTL","pre_average_LTDR","pre_max_LTDR","pre_min_temp","pre_max_temp","pre_average_temp","pre_max_precip","pre_min_precip","pre_average_precip","post_implementation_time","year","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","treatment","latitude","longitude","total_disbursements","MultiFocal","pred_trt_NDVI"
"90",1.584746362304e-05,4.864241992188e-05,25.0013055824947,1562.82743046241,4758.19137257586,10.6218390804598,27.8195402298851,18.7109195402299,123.026436781609,1.3264367816092,42.8804597701149,4,"2010",1967.85632324219,2400.27783203125,49.4090279996,1.01523458958,35.7815371763,884.108825683594,0,0.674546978629,1,36.8193503194876,10.16579,10190695.7251,1,-4.98004082026475e-06
"206",2.234346435546e-05,6.098804492188e-05,6.99228337416211,2177.35614224103,5843.5889345369,24.3612068965517,32.3206896551724,27.7600574712644,287.319827586207,0.0163793103448276,75.9942528735632,4,"2010",2162.921875,2541.40283203125,395.733852544,1.72802114487,71.8986156352,252.36018371582,0,3.10187588566,1,12.6500767318695,-8,8487007.54401,0,9.24680669474087e-06
"241",2.91743277994833e-05,7.548528808595e-05,9.02909687109611,2951.89766148214,7424.31879534,20.80625,23.4723214285714,22.0115327380952,219.388392857143,25.2964285714286,105.160491071429,5,"2009",2432.09619140625,1858.03857421875,1170.66517905,1.69032907486,41.4910677192,902.174926757812,0,32.7507279141,1,0.316281796643515,32.58219,7408191.343,1,-4.54970670733058e-06
"3",1.36547566731833e-05,3.80557047526167e-05,0.724768775848722,1319.31996372714,3628.47632707929,0.453571428571429,28.04375,14.3957589285714,56.7651785714286,3.07946428571429,21.0520089285714,5,"2009",2568.24560546875,2927.17529296875,867.239855499,5.20108747482,229.042861853,5.66164016723633,0,0.277050445369,1,38.4789922623418,57.03345,3032066.88538,0,1.03242534995717e-05
"10",1.47142416382e-05,5.0007083740225e-05,0.152908124025925,1567.74327799533,4726.18334960933,26.48,30.58,28.4725694444444,139.299166666667,0.129166666666667,33.1383333333333,3,"2011",2559.57250976562,5928.611328125,134.524883028,0.15490975976,318.225592023,50.7365493774414,0,0.0301684523334,1,0.052870300318655,40.31055,2990364.08485,0,-1.51454400950299e-05
"41",2.933719970703e-05,7.899775341796e-05,0.391350944270571,2842.45390828375,7407.89461262958,22.203125,25.3083333333333,23.5610243055556,294.692708333333,1.203125,86.4881944444444,9,"2005",1819.4658203125,636.318786621094,479.907280647,5.72665309906,111.540704739,52.3702583312988,0,34.2911226641,1,13.0537795216731,-86.59004,3553660.27008,0,5.7825577714515e-06
"43",2.820787695313e-05,7.710611621096e-05,0.172952149229413,2626.56883748292,7192.84985351583,25.4361111111111,28.7833333333333,26.8061342592593,315.6625,1.08888888888889,95.2230324074074,9,"2005",2016.43823242188,439.270935058594,359.696026559,4.41652536392,119.889699919,40.0133056640625,0,27.7272345912,1,12.7268372597591,-86.38057,3553660.27008,0,9.24680669474087e-06
"45",2.379071166993e-05,7.259529833985e-05,0.0683242427759464,2192.59806823792,6592.92338053333,25.8541666666667,29.2072916666667,27.2129340277778,327.571875,1.171875,98.3087673611111,9,"2005",1927.20275878906,1337.6982421875,169.481027134,2.1210641861,109.441463415,35.1600875854492,0,21.3901033288,1,12.5050457377075,-86.29942,3553660.27008,0,9.24680669474087e-06
"42",3.2238e-05,7.883029052733e-05,0.550135971764179,3087.29567464167,7367.23061116542,25.5486111111111,28.8694444444444,27.0184027777778,377.115277777778,0.395833333333333,109.929513888889,9,"2005",2082.2578125,1810.72900390625,525.492226368,5.65143442154,112.294379296,73.1250152587891,1,31.9370095764,1,13.2296407475703,-86.8674399999999,3553660.27008,0,9.24680669474087e-06
"44",3.162473168946e-05,7.915720996094e-05,0.441174770191171,3038.07267252542,7394.23197428375,24.5083333333333,27.5854166666667,25.8243055555556,343.347916666667,0.477083333333333,100.506076388889,9,"2005",1756.95263671875,1448.39208984375,531.870349259,5.70048046112,115.278947368,57.430248260498,0,31.3302704923,1,13.1993105356763,-86.7717,3553660.27008,0,9.24680669474087e-06
"46",2.905843286133e-05,7.848897558595e-05,0.221608741136714,2769.63263956792,7376.9247029625,22.203125,25.3083333333333,23.5610243055556,294.692708333333,1.203125,86.4881944444444,9,"2005",1958.34692382812,498.861480712891,373.4875467,4.94736719131,113.289825699,46.7592315673828,0,32.4659374276,1,12.8869483647163,-86.53903,3553660.27008,0,5.7825577714515e-06
"40",2.781478198242e-05,7.732769433595e-05,0.462605723554857,2612.68048095708,7232.56097412167,22.1041666666667,25.3013888888889,23.4938657407407,288.172222222222,1.53611111111111,86.7643518518518,9,"2005",2098.43627929688,403.437194824219,473.024501661,5.2549161911,109.779131141,49.3035621643066,0,28.4721434786,1,12.8012377725593,-86.3699399999999,3553660.27008,0,5.7825577714515e-06
"61",1.956745849608e-05,5.252538085936e-05,0.513888667969947,1841.39605081483,4640.84193157207,24.4646551724138,29.5336206896552,27.5681034482759,238.185344827586,0,49.2291666666667,4,"2010",1745.77600097656,438.784057617188,12.4576026408,0.168087288737,124.369124797,179.43359375,0,0.320168894034,1,14.4834196854763,-16.4,5029337.80386,0,5.661032065168e-06
"58",2.017205859374e-05,5.46522138672e-05,1.917240080949,1900.00658758828,4835.62936085621,24.3724137931034,30.2258620689655,27.966882183908,184.794827586207,0,36.1489224137931,4,"2010",2441.67895507812,377.969787597656,42.3148300721,0.182014837861,118.527463651,163.00732421875,0,0.0631335833143,1,14.8500923689416,-15.88333,5029337.80386,0,5.661032065168e-06
"57",2.138973583986e-05,5.969279980468e-05,0.408137960373947,1911.76872306069,5085.52534011345,24.5887931034483,31.2801724137931,28.532974137931,180.616379310345,0,38.1392959770115,4,"2010",3393.236328125,740.831970214844,53.414789674,0.141721114516,178.993949173,75.9963073730469,1,0.0162728782966,1,15.0509938533491,-15.7156,5029337.80386,0,5.661032065168e-06
"56",1.597931054688e-05,4.819483203126e-05,0.386112718566316,1469.80955768517,4136.82184469276,24.635632183908,29.3712643678161,27.5547892720306,268.93908045977,0,58.7244252873563,4,"2010",2379.77392578125,2328.43920898438,5.04393716249,0.166107490659,215.106847984,85.6234359741211,1,2.00731949791,1,14.1334171542071,-16.66667,5029337.80386,0,5.661032065168e-06
"59",1.689745043944e-05,4.582670507812e-05,1.92241762427789,1622.96357884897,4088.04269935379,23.4896551724138,28.4327586206897,26.4727011494253,209.377586206897,0,40.4594827586207,4,"2010",2796.19653320312,445.544708251953,40.5616126585,0.262958168983,122.801702128,116.251983642578,0,0.086977985687,1,15.0765940432338,-16.7602,5029337.80386,0,5.661032065168e-06
"60",1.900390209964e-05,5.297069042968e-05,2.63364563240526,1828.65631313966,4672.23069605345,23.3770114942529,28.4402298850575,26.3523946360153,233.105747126437,0,47.4140804597701,4,"2010",2508.25634765625,365.319702148438,40.7892621599,0.424305230379,101.299110752,255.600738525391,0,1.3733785279,1,14.7000912671879,-16.88333,5029337.80386,0,5.661032065168e-06
"55",2.191277661134e-05,6.324276171876e-05,0.00544038036503158,2072.17660627759,5575.55374461207,25.2655172413793,30.8198275862069,28.440158045977,229.394827586207,0,51.7015086206897,4,"2010",2557.28857421875,523.200134277344,33.9793003519,0.357265561819,221.165581774,65.1487808227539,1,1.82631252639,1,13.8334150072816,-15.41667,5029337.80386,0,5.661032065168e-06
"54",2.079505761718e-05,5.835369042966e-05,1.13392325964911,1997.61652663724,5286.79800309793,25.1146551724138,29.9836206896552,28.1001436781609,254.235344827586,0,54.6119252873563,4,"2010",1776.65478515625,505.091766357422,18.667700579,0.226696491241,83.8678861789,105.012382507324,0,1.10968152808,1,14.0667566753708,-15.93333,5029337.80386,0,5.661032065168e-06
"62",1.82782345145143e-05,6.49949058314857e-05,0.888360758577647,1826.58775046963,6421.34581163222,21.5703703703704,23.0444444444444,22.4228395061728,401.781481481481,80.9314814814815,213.443209876543,6,"2008",4525.263671875,3796.9228515625,200.476582761,4.67827320099,363.347462687,16.5793476104736,2,60.6438471884,1,9.43005554767185,-82.52,3584596.47685,1,-1.52843556251771e-06
